Index,Book Name,Author,Rating,Number of Votes,Score
1450,"The Hand of the Sun King (Pact and Pattern, #1)",J.T. Greathouse,3.78,"2,586",90
1451,"They Called Us ""Lucky"": The Life and Afterlife of the Iraq War's Hardest Hit Unit",Ruben Gallego,4.06,519,90
1452,The Tsarina's Daughter,Ellen Alpsten,3.92,"1,750",90
1453,"Cynical Theories: How Activist Scholarship Made Everything about Race, Gender, and Identity—and Why This Harms Everybody",Helen Pluckrose,4.11,"5,489",90
1454,The Henna Wars,Adiba Jaigirdar,3.94,"29,253",90
1455,The Christmas Murder Game,Alexandra Benedict,3.39,"19,673",90
1456,"Royal Honor (Dragon Royals, #5)",May Dawson,4.13,"2,239",90
1457,"Honey Trap (The Guild, #1)",Tate James,4.50,"13,166",90
1458,"The Furies (Charlie Parker, #20)",John Connolly,4.14,"5,104",90
1459,Only Mostly Devastated,Sophie Gonzales,3.95,"32,111",90
1460,The Cursed Carnival and Other Calamities: New Stories about Mythic Heroes,Rick Riordan,3.87,"1,737",90
1461,Follow Your Arrow,Jessica Verdi,3.88,645,90
1462,Motherthing,Ainslie Hogarth,3.67,"23,536",90
1463,Out on a Limb,Hannah Bonam-Young,4.34,"79,654",90
1464,Circles,Josiah Morgan,4.64,11,90
1465,Penance,Eliza Clark,3.89,"26,380",90
1466,Wishtress,Nadine Brandes,4.02,"2,575",90
1467,"Broken Hearts (Campus Nights, #3)",Rebecca Jenshak,3.88,"7,161",90
1468,Those Who Wait,Haley Cass,4.43,"15,859",90
1469,Acsquidentally in Love (Sucker for Love Mysteries #1),K.L. Hiers,4.01,"1,149",90
1470,The Wizard In My Shed (The Misadventures of Merdyn the Wild #1),Simon Farnaby,4.24,391,90
1471,Viviana Valentine Gets Her Man (Girl Friday #1),Emily J. Edwards,3.72,979,90
1472,When You Trap a Tiger,Tae Keller,4.15,"18,457",90
1473,"The Graham Effect (Campus Diaries, #1)",Elle Kennedy,4.20,"156,051",90
1474,"Worst Wingman Ever (The Improbable Meet-Cute, #2)",Abby Jimenez,3.99,"88,702",90
1475,The Summer We Crossed Europe in the Rain: Lyrics for Stacey Kent,Kazuo Ishiguro,3.84,694,90
1476,Revelator,Daryl Gregory,3.98,"5,484",90
1477,Facing the Mountain: A True Story of Japanese American Heroes in World War II,Daniel James Brown,4.49,"10,887",90
1478,"The Shadow of the Gods (The Bloodsworn Saga, #1)",John Gwynne,4.22,"51,974",90
1479,So This is Love,Elizabeth Lim,4.08,"16,388",90
1480,Paved Paradise: How Parking Explains the World,Henry Grabar,4.20,"3,622",90
1481,The Glass House,Eve Chase,3.98,"21,992",89
1482,Most Likely,Sarah Watson,3.90,"4,118",89
1483,"Katheryn Howard: the Scandalous Queen (Six Tudor Queens, #5)",Alison Weir,4.09,"6,166",89
1484,Δανδής και ονειροπόλος,Υπερρεαλιστική Ομάδα Θεσσαλονίκης,4.33,3,89
1485,"Execution in E (Gethsemane Brown Mysteries, #5)",Alexia Gordon,3.99,579,89
1486,"The Making of a Highlander (Midnight in Scotland, #1)",Elisa Braden,4.26,"3,548",89
1487,Intimations,Zadie Smith,3.99,"27,494",89
1488,In Sensorium: Notes for My People,Tanaïs,4.14,334,89
1489,The Liar's Dictionary,Eley Williams,3.36,"10,329",89
1490,"City of Shattered Light (Requiem Dark, #1)",Claire Winn,3.77,"1,082",89
1491,The Maiden of All Our Desires,Peter Manseau,3.75,323,89
1492,"The Duke Who Didn't (Wedgeford Trials, #1)",Courtney Milan,3.91,"5,970",89
1493,The Matchmaker's Gift,Lynda Cohen Loigman,4.15,"19,078",89
1494,Last Chance Books,Kelsey Rodkey,3.23,"11,537",89
1495,Becoming Muhammad Ali,James Patterson,4.17,"4,679",89
1496,More Myself: A Journey,Alicia Keys,4.14,"17,874",89
1497,All Hallows,Christopher Golden,3.54,"8,171",89
1498,The Creative Act: A Way of Being,Rick Rubin,4.04,"45,743",89
1499,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,4.44,"33,613",89
1500,Kraken My Heart (Sucker for Love Mysteries #2),K.L. Hiers,3.93,511,89
1501,Our Team: The Epic Story of Four Men and the World Series That Changed Baseball,Luke Epplin,4.48,"1,334",89
1502,The Thread Collectors,Shaunna J. Edwards,4.10,"6,630",89
1503,"Make My Move (Hannaford Prep, #5)",J. Bree,4.55,"5,567",89
1504,"The Exception to the Rule (The Improbable Meet-Cute, #1)",Christina Lauren,4.22,"111,355",89
1505,And Then She Fell,Alicia Elliott,3.90,"3,203",89
1506,Coffeeland: One Man's Dark Empire and the Making of Our Favorite Drug,Augustine Sedgewick,3.59,"1,473",89
1507,Ντακάρ - Dakar,Θάνος Γώγος,3.67,3,88
1508,Changing the Equation: 50+ US Black Women in STEM,Tonya Bolden,4.24,49,88
1509,"The Life You Stole (Life, #2)",Jewel E. Ann,4.05,"5,381",88
1510,"Bear Bottom (FunJungle, #7)",Stuart Gibbs,4.23,"4,464",88
1511,Hollywood Park,Mikel Jollett,4.29,"15,654",88
1512,Difficult Women: A History of Feminism in 11 Fights,Helen Lewis,4.23,"4,089",88
1513,Vagabonds!,Eloghosa Osunde,3.82,"2,749",88
1514,Lease on Love,Falon Ballard,3.73,"23,768",88
1515,"Rebel (Sterling Falls, #3)",S. Massery,4.37,"2,660",88
1516,Burn,Patrick Ness,3.73,"9,957",88
1517,You Should See Me in a Crown,Leah Johnson,4.08,"42,129",88
1518,Santiago's Road Home,Alexandra Diaz,4.32,794,88
1519,"For the First Time, Again (Take Them to the Stars, #3)",Sylvain Neuvel,3.90,"1,020",88
1520,"Blood Heir (Aurelia Ryder, #1; World of Kate Daniels, #15)",Ilona Andrews,4.46,"20,996",88
1521,"Be Water, My Friend: The True Teachings of Bruce Lee",Shannon Lee,4.18,"5,673",88
1522,A Fae's Two Alphas,Jem Zero,3.75,99,88
1523,"The Unforgettable Logan Foster (Logan Foster, #1)",Shawn Peters,4.02,"1,105",88
1524,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",Steve Brusatte,4.37,"5,552",88
1525,Angels Adrift (A Mercy Allcutt Mystery #6),Alice Duncan,4.56,194,88
1526,The Seed Keeper,Diane Wilson,4.29,"17,839",88
1527,What Stars Are Made of,Sarah Allen,4.33,950,88
1528,Love and Other Human Errors,Bethany Clift,4.21,"1,012",88
1529,"The Last Bloodcarver (The Last Bloodcarver, #1)",Vanessa Le,3.98,"2,352",88
1530,What Big Teeth,Rose Szabo,3.37,"6,651",88
1531,When We Lost Our Heads,Heather O'Neill,3.97,"12,229",88
1532,Cuba: An American History,Ada Ferrer,4.46,"4,027",88
1533,Antigone Rising: The Subversive Power of the Ancient Myths,Helen Morales,3.98,"1,736",88
1534,A Princess for Christmas,Jenny Holiday,3.58,"7,616",87
1535,"Αντι-γόνη, Αντι-θεός, Αντι-τύραννος",Σάββας Μιχαήλ,3.78,9,87
1536,Musical Chairs,Amy Poeppel,3.81,"8,247",87
1537,"Keep Moving: Notes on Loss, Creativity, and Change",Maggie Smith,3.90,"6,154",87
1538,Just Pursuit: A Black Prosecutor's Fight for Fairness,Laura Coates,4.20,"1,676",87
1539,Lote,Shola von Reinhold,4.07,"1,547",87
1540,Pretty Little Wife,Darby Kane,3.92,"64,746",87
1541,Flyaway,Kathleen Jennings,3.56,"3,013",87
1542,I Have Something to Tell You,Chasten Glezman Buttigieg,4.23,"6,364",87
1543,"Count Your Lucky Stars (Written in the Stars, #3)",Alexandria Bellefleur,3.96,"23,768",87
1544,"The Oleander Sword (The Burning Kingdoms, #2)",Tasha Suri,4.34,"9,066",87
1545,Transcendent: Art and Dharma in a Time of Collapse,Curtis White,3.58,19,87
1546,When the Moon Turns Blue,Pamela Terry,4.07,924,87
1547,Unfair Play: The Battle For Women's Sport,Sharron Davies,4.25,146,87
1548,The House of Eve,Sadeqa Johnson,4.25,"99,628",87
1549,When These Mountains Burn,David Joy,4.07,"3,777",87
1550,"After We Gazed at the Starry Sky, Vol. 1",Bisco Kida,3.95,782,87
1551,Otherlands: A Journey Through Earth's Extinct Worlds,Thomas Halliday,4.12,"5,033",87
1552,The Magnolia Palace,Fiona Davis,3.88,"72,840",87
1553,Lunar New Year Love Story,Gene Luen Yang,4.41,"4,394",87
1554,"Stealing Home (Beyond the Play, #3)",Grace Reilly,3.67,"23,702",87
1555,If I Survive You,Jonathan Escoffery,3.69,"11,796",87
1556,My Friends,Hisham Matar,4.34,"3,998",87
1557,"All Hail the Underdogs (Breakaway, #3)",E.L. Massey,4.36,"2,038",87
1558,The Woman Before Wallis,Bryn Turnbull,3.89,"7,833",86
1559,Faucian Bargain: The Most Powerful and Dangerous Bureaucrat in American History,Steve Deace,4.42,"1,106",86
1560,Καλλίμορφη,Μιχάλης Μανωλιός,4.20,15,86
1561,"The King of Faerie (Stariel, #4)",A.J. Lancaster,4.35,"3,158",86
1562,The Queen of the Cicadas,V. Castro,3.73,"1,538",86
1563,Reel (Hollywood Renaissance #1),Kennedy Ryan,4.46,"11,306",86
1564,The Layover,Lacie Waldon,3.63,"30,034",86
1565,The Night Ship,Jess Kidd,3.66,"11,513",86
1566,The Sex Lives of African Women,Nana Darkoa Sekyiamah,3.98,"2,525",86
1567,Gender-Critical Feminism,Holly Lawford-Smith,3.89,74,86
1568,The Redpoint Crux,Morgan Shamy,4.06,171,86
1569,"Hang the Moon (Written in the Stars, #2)",Alexandria Bellefleur,3.79,"18,172",86
1570,"Realm Breaker (Realm Breaker, #1)",Victoria Aveyard,3.59,"36,314",86
1571,Millionaires for the Month,Stacy McAnulty,4.10,"2,699",86
1572,"The Killing Hills (Mick Hardin, #1)",Chris Offutt,3.88,"4,179",86
1573,21 Grams,M. Regan,4.62,24,86
1574,"Everything for You (Bergman Brothers, #5)",Chloe Liese,4.09,"19,652",86
1575,"Natrium Chlorid (Sonderdezernat Q, #9)",Jussi Adler-Olsen,4.04,"10,308",86
1576,Chevreuse,Patrick Modiano,3.57,679,86
1577,Harlem Sunset (Harlem Renaissance Mystery #2),Nekesa Afia,3.40,828,86
1578,"Cold, Cold Bones (Temperance Brennan, #21)",Kathy Reichs,4.04,"13,999",86
1579,Garbo,Robert Gottlieb,3.57,475,86
1580,Firebreak,Nicole Kornher-Stace,3.86,"3,001",86
1581,Eruption,Michael Crichton,3.86,"35,519",86
1582,Intimacies,Katie Kitamura,3.64,"35,409",86
1583,King: A Life,Jonathan Eig,4.66,"7,928",86
1584,"Sunreach (Skyward, #2.1)",Brandon Sanderson,4.16,"22,649",86
1585,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War",Erik Larson,4.22,"26,495",86
1586,"Like You've Nothing Left to Prove (Breakaway, #2)",E.L. Massey,4.40,"3,372",86
1587,The Great Gatsby: The Graphic Novel,Fred Fordham,3.75,"2,851",85
1588,Η πολιτεία Λαβύρινθος,Αργύρης Χιόνης,3.89,131,85
1589,Plague of Corruption: Restoring Faith in the Promise of Science,Kent Heckenlively,4.25,"1,315",85
1590,"Tilly and the Lost Fairytales (Pages & Co., #2)",Anna James,4.14,"6,033",85
1591,"Miss Moriarty, I Presume? (Lady Sherlock, #6)",Sherry Thomas,4.07,"9,628",85
1592,One-Eyed Jax,R.A. Salvatore,3.42,583,85
1593,Shifting the Silence,Etel Adnan,4.24,442,85
1594,Arizona SB 1070: An Act,Ryan Clark,"it was amazing
5.00",2,85
1595,Growing Up Disabled in Australia,Carly Findlay,4.39,994,85
1596,A Death so Sweet: Collection One: Books 1 - 3,Candace Wondrak,4.22,225,85
1597,Kiss & Tell,Adib Khorram,3.64,"5,173",85
1598,The Original,Brandon Sanderson,3.79,"7,628",85
1599,"Serenade (The Dark Nocturne, #1)",Morgan Shamy,4.04,170,85
1600,Om könets existens,Kajsa Ekis Ekman,3.67,250,85
1601,A House with Good Bones,T. Kingfisher,3.68,"43,609",85
1602,"If Only You (Bergman Brothers, #6)",Chloe Liese,4.04,"18,331",85
1603,The Social Graces,Renée Rosen,3.98,"13,306",85
1604,"Wicked As You Wish (A Hundred Names for Magic, #1)",Rin Chupeco,3.41,"3,113",85
1605,"The Blood Traitor (The Prison Healer, #3)",Lynette Noni,4.45,"51,875",85
1606,Ask for Andrea,Noelle W. Ihli,4.10,"120,858",85
1607,"Like Real People Do (Breakaway, #1)",E.L. Massey,4.32,"5,040",85
1608,Homeland Elegies,Ayad Akhtar,4.13,"23,824",85
1609,"Fallout: Nuclear Bribes, Russian Spies, and the Washington Lies that Enriched the Clinton and Biden Dynasties",John Solomon,4.38,184,84
1610,"Escape From Aurora (Frostheart, #2)",Jamie Littler,4.46,"1,278",84
1611,"Tilly and the Map of Stories (Pages & Co., #3)",Anna James,4.19,"4,046",84
1612,The Thousand Crimes of Ming Tsu,Tom Lin,3.72,"4,592",84
1613,Αστικό ελάφι,Μαρία Κουλούρη,"really liked it
4.00",1 rating,84
1614,"The Bombay Prince (Perveen Mistry, #3)",Sujata Massey,3.96,"8,453",84
1615,"Feminism, Interrupted: Disrupting Power",Lola Olufemi,4.43,"3,073",84
1616,Bitch: On the Female of the Species,Lucy Cooke,4.45,"4,425",84
1617,"Payback's a Witch (The Witches of Thistle Grove, #1)",Lana Harper,3.60,"39,068",84
1618,Ghosting: A Love Story,Tash Skilton,3.51,"3,522",84
1619,The Suspect,Kathryn Croft,4.12,"2,060",84
1620,The Prettiest,Brigit Young,4.14,"1,563",84
1621,Cursed Bread,Sophie Mackintosh,3.29,"8,204",84
1622,"Etude (The Dark Nocturne, #2)",Morgan Shamy,4.37,27,84
1623,"With You Forever (Bergman Brothers, #4)",Chloe Liese,4.11,"25,485",84
1624,"The Elf Beside Himself (Beyond the Veil, #6)",K.M. Avery,4.51,209,84
1625,The Putin Files: Excursions Around the Ideology of Pain,Wole Soyinka,"liked it
3.00",1 rating,84
1626,Miss Aldridge Regrets (Canary Club Mystery #1),Louise Hare,3.43,"3,534",84
1627,The Burnout,Sophie Kinsella,3.70,"58,350",84
1628,Η φύλακας του ήλιου,Maja Lunde,4.32,"1,467",84
1629,Eyes that Kiss in the Corners,Joanna Ho,4.59,"8,504",84
1630,Bright Burning Things,Lisa Harding,3.33,"12,642",84
1631,"Culture: The Story of Us, From Cave Art to K-Pop",Martin Puchner,3.81,455,84
1632,"Cytonic (Skyward, #3)",Brandon Sanderson,4.07,"55,560",84
1633,The Maid's Diary,Loreth Anne White,4.23,"85,065",84
1634,"The Unbroken (Magic of the Lost, #1)",C.L. Clark,3.82,"11,234",84
1635,"The Committed (The Sympathizer, #2)",Viet Thanh Nguyen,3.96,"10,671",84
1636,"A Fate Inked in Blood (Saga of the Unfated, #1)",Danielle L. Jensen,3.97,"98,015",84
1637,"Muse (Muse, #1)",Brittany Cavallaro,3.30,"1,045",83
1638,Glassheart,Katharine Orton,3.67,293,83
1639,Countdown to Socialism,Devin Nunes,4.38,492,83
1640,"The Unspoken Name (The Serpent Gates, #1)",A.K. Larkwood,3.73,"8,875",83
1641,Δεύτερη νεότητα,Τώνια Τζιρίτα-Ζαχαράτου,4.29,24,83
1642,Finna,Nate Marshall,4.48,"2,255",83
1643,A Fire like You,Upile Chisala,3.90,652,83
1644,"Escape the Reaper (Maura Quinn, #3)",Ashley N. Rostek,4.43,"2,739",83
1645,Circus of Wonders,Elizabeth Macneal,3.64,"9,145",83
1646,"A Counterfeit Suitor (Rosalind Thorne Mysteries, #5)",Darcie Wilde,4.10,"1,490",83
1647,Ghost Mortem (Ghost Detective #1),Jane Hinchey,4.45,"3,781",83
1648,The Pink Hotel,Liska Jacobs,2.95,"1,641",83
1649,"Promenade (The Dark Nocturne, #3)",Morgan Shamy,4.37,19,83
1650,"We Are Bellingcat: Global Crime, Online Sleuths, and the Bold Future of News",Eliot Higgins,4.12,"4,986",83
1651,The Golem of Brooklyn,Adam Mansbach,4.01,"2,139",83
1652,Rainbow Milk,Paul Mendez,3.87,"6,612",83
1653,The German Heiress,Anika Scott,3.73,"8,605",83
1654,"Only and Forever (Bergman Brothers, #7)",Chloe Liese,4.03,"11,100",83
1655,Sunshine: A Graphic Novel,Jarrett J. Krosoczka,4.55,"2,981",83
1656,The Barbizon: The Hotel That Set Women Free,Paulina Bren,3.68,"5,972",83
1657,"Furysong (The Aurelian Cycle, #3)",Rosaria Munda,4.42,"8,792",83
1658,Junior High (Tegan and Sara #1),Tegan Quin,4.07,"2,847",83
1659,"This Woven Kingdom (This Woven Kingdom, #1)",Tahereh Mafi,3.96,"62,619",83
1660,Ordinary Human Failings,Megan Nolan,3.77,"7,605",83
1661,Samsung Rising: The Inside Story of the South Korean Giant That Set Out to Beat Apple and Conquer Tech,Geoffrey Cain,3.65,"1,503",83
1662,"Evershore (Skyward, #2.3)",Brandon Sanderson,4.37,"16,793",83
1663,"The Lotus Empire (The Burning Kingdoms, #3)",Tasha Suri,4.39,116,83
1664,The Berry Pickers,Amanda Peters,4.13,"118,334",83
1665,Εξημέρωση: Νεκρογραφία,Δημοσθένης Παπαμάρκος,3.34,101,82
1666,The Companions,Katie M. Flynn,3.12,"1,764",82
1667,Mr. Gardiner and the Governess (Clairvoir Castle Romances #1),Sally Britton,4.15,"3,789",82
1668,18 Tiny Deaths: The Untold Story of Frances Glessner Lee and the Invention of Modern Forensics,Bruce Goldfarb,3.69,"3,409",82
1669,The Traitor,V.S. Alexander,4.10,"2,142",82
1670,"Paladin's Hope (The Saint of Steel, #3)",T. Kingfisher,4.23,"11,449",82
1671,我們的最後進化 Our Last Evolution,傘下的人,"really liked it
4.00",5,82
1672,"Wild Honor (Dragon Royals, #4)",May Dawson,4.15,"2,832",82
1673,"Endure the Pain (Maura Quinn, #2)",Ashley N. Rostek,4.39,"4,397",82
1674,The Displacements,Bruce Holsinger,3.96,"5,716",82
1675,Couplets,Maggie Millner,3.76,"3,687",82
1676,The Arsonists' City,Hala Alyan,4.31,"6,925",82
1677,"Manifest (Muse, #2)",Brittany Cavallaro,3.60,141,82
1678,The Wolf and the Woodsman,Ava Reid,3.53,"26,042",82
1679,Science Fictions,Stuart Ritchie,4.37,"2,123",82
1680,Peaces,Helen Oyeyemi,3.26,"4,574",82
1681,"Fear No Evil (Alex Cross, #29)",James Patterson,4.28,"25,191",82
1682,"Ever After Always (Bergman Brothers, #3)",Chloe Liese,3.94,"24,414",82
1683,Dead Dead Girls (Harlem Renaissance Mystery #1),Nekesa Afia,3.21,"5,629",82
1684,"A Mirror Mended (Fractured Fables, #2)",Alix E. Harrow,3.76,"12,929",82
1685,Camp Zero,Michelle Min Sterling,3.21,"18,862",82
1686,"La Corte del Eclipse (El príncipe del sol, #3)",Claudia Ramírez Lomelí,4.12,"4,741",82
1687,Piglet,Lottie Hazell,3.46,"19,897",82
1688,Must Love Silence,Lucy Bexley,3.81,"2,177",82
1689,"The Housemaid's Secret (The Housemaid, #2)",Freida McFadden,4.24,"819,599",82
1690,It Goes Like This,Miel Moreland,3.97,"1,489",82
1691,The Spectrum Girl’s Survival Guide,Siena Castellon,4.21,359,81
1692,Couple Found Slain: After a Family Murder,Mikita Brottman,3.54,"2,015",81
1693,The First Day of Spring,Nancy Tucker,3.92,"24,121",81
1694,Other People's Houses,Kelli Hawkins,3.44,"2,692",81
1695,In Her Shoes: Women of the Eighth: A Memoir and Anthology,Erin Darcy,4.88,97,81
1696,"The Lazy Genius Way: Embrace What Matters, Ditch What Doesn't, and Get Stuff Done",Kendra Adachi,4.13,"24,476",81
1697,"Fighter (Sterling Falls, #2)",S. Massery,4.26,"3,062",81
1698,"Chapter and Curse (Cambridge Bookshop, #1)",Elizabeth Penney,3.95,"1,487",81
1699,"Katharine Parr, the Sixth Wife (Six Tudor Queens, #6)",Alison Weir,4.23,"5,202",81
1700,"A Lady Compromised (Rosalind Thorne Mysteries, #4)",Darcie Wilde,3.98,"1,904",81
1701,Aesthetica,Allie Rowbottom,3.36,"4,382",81
1702,Just Like Home,Sarah Gailey,3.34,"32,603",81
1703,He Started It,Samantha Downing,3.49,"20,262",81
1704,Your Brain is Always Listening,Daniel G. Amen,3.69,"1,332",81
1705,"Deadly Cross (Alex Cross, #28)",James Patterson,4.28,"28,230",81
1706,"Only When It's Us (Bergman Brothers, #1)",Chloe Liese,3.93,"51,073",81
1707,"Twin Crowns (Twin Crowns, #1)",Catherine Doyle,3.94,"27,151",81
1708,"Club 22 (Hades, #3)",Tate James,4.53,"23,044",81
1709,Why Has Nobody Told Me This Before?,Julie Smith,3.88,"35,493",81
1710,VenCo,Cherie Dimaline,3.78,"9,574",81
1711,Camp Jupiter Classified: A Probatio's Journal,Rick Riordan,3.86,"6,818",81
1712,"The Girl in His Shadow (Nora Beady, #1)",Audrey Blake,4.16,"46,664",81
1713,Real Americans,Rachel Khong,4.02,"41,170",81
1714,The Horde: How the Mongols Changed the World,Marie Favereau,3.84,868,81
1715,The Instruments of Darkness (Charlie Parker #21),John Connolly,4.42,"3,978",81
1716,Purposefully Accidental,G. Benson,4.26,"3,004",81
1717,Everyone in This Room Will Someday Be Dead,Emily R. Austin,3.86,"68,795",81
1718,The Girl in the Mirror,Rose Carlyle,3.80,"40,727",80
1719,Panic Attack: Playing Politics with Science in the Fight Against COVID-19,Nicole Saphier,4.02,124,80
1720,Dear Senthuran: A Black Spirit Memoir,Akwaeke Emezi,4.30,"4,023",80
1721,"Sacred Honor (Dragon Royals, #3)",May Dawson,4.06,"4,304",80
1722,"Warrior Fae (Ruthless Boys of the Zodiac, #5)",Caroline Peckham,4.44,"33,241",80
1723,"The Witness for the Dead (The Cemeteries of Amalo, #1)",Katherine Addison,4.11,"10,150",80
1724,"Always Only You (Bergman Brothers, #2)",Chloe Liese,3.96,"44,899",80
1725,I Guess I Haven't Learned That Yet: Discovering New Ways of Living When the Old Ways Stop Working,Shauna Niequist,4.01,"12,560",80
1726,"Anarchy (Hades, #2)",Tate James,4.49,"25,027",80
1727,Age of Vice,Deepti Kapoor,3.61,"30,952",80
1728,Las Memorias de Fenrai,Claudia Ramírez Lomelí,4.03,"3,971",80
1729,"The Gilded Cage (The Prison Healer, #2)",Lynette Noni,4.28,"59,801",80
1730,Home Is Where the Bodies Are,Jeneva Rose,3.84,"131,165",80
1731,Go Around,E.J. Noyes,4.33,"1,978",80
1732,Confessions on the 7:45,Lisa Unger,3.91,"57,246",79
1733,How I Saved the World,Jesse Watters,4.28,"2,700",79
1734,Girl A,Abigail Dean,3.64,"83,487",79
1735,Five Tuesdays in Winter,Lily King,3.72,"20,342",79
1736,"The Abolition of Sex: How the ""Transgender"" Agenda Harms Women and Girls",Kara Dansky,4.26,356,79
1737,Stranger Faces,Namwali Serpell,3.76,398,79
1738,The Archive of the Forgotten (Hell's Library #2),A.J. Hackwith,3.84,"6,957",79
1739,"Rogues: True Stories of Grifters, Killers, Rebels and Crooks",Patrick Radden Keefe,4.01,"16,894",79
1740,The Nightmare Man,J.H. Markert,3.87,"4,650",79
1741,Please Join Us,Catherine McKenzie,3.58,"3,940",79
1742,Forget Me Not,Julie Soto,3.99,"54,759",79
1743,Jade Fire Gold,June C.L. Tan,3.70,"9,764",79
1744,"7th Circle (Hades, #1)",Tate James,4.38,"29,273",79
1745,Again and Again,Jonathan Evison,3.75,"6,017",79
1746,Actress,Anne Enright,3.44,"6,490",79
1747,The Greek Revolution: 1821 and the Making of Modern Europe,Mark Mazower,4.23,678,79
1748,The Only Survivors,Megan Miranda,3.54,"72,211",79
1749,The Third Pole: My Everest climb to find the truth about Mallory and Irvine,Mark Synnott,4.15,"3,715",78
1750,"First Comes Like (Modern Love, #3)",Alisha Rai,3.54,"8,624",78
1751,Our Crooked Hearts,Melissa Albert,3.75,"11,022",78
1752,Obit,Victoria Chang,4.27,"3,751",78
1753,Infamous,Lex Croucher,3.54,"5,345",78
1754,These Thin Lines,Milena McKay,4.43,"1,718",78
1755,The Dark Between the Trees,Fiona Barnett,3.31,"1,557",78
1756,Mrs. Nash's Ashes,Sarah Adler,4.03,"37,971",78
1757,"Lightbringer (Empirium, #3)",Claire Legrand,3.98,"13,868",78
1758,"Timber (Hades, #4)",Tate James,4.51,"22,642",78
1759,Why Didn't You Tell Me?,Carmen Rita Wong,3.76,"2,494",78
1760,The Deficit Myth: Modern Monetary Theory and the Birth of the People's Economy,Stephanie Kelton,4.04,"8,686",78
1761,The Hazelbourne Ladies Motorcycle and Flying Club,Helen Simonson,3.95,"7,639",78
1762,Little Disasters,Sarah Vaughan,3.61,"15,286",77
1763,His Only Wife,Peace Adzo Medie,3.74,"30,518",77
1764,Einstein: Die fantastische Reise einer Maus durch Raum und Zeit,Torben Kuhlmann,4.56,580,77
1765,The Royals Next Door,Karina Halle,3.70,"19,944",77
1766,The End of the World is Flat,Simon Edge,4.22,403,77
1767,Close Up (Burning Cove #4),Amanda Quick,"really liked it
4.00","6,194",77
1768,"A Ruin of Roses (Deliciously Dark Fairytales, #1)",K.F. Breene,3.81,"54,799",77
1769,Spells for Forgetting,Adrienne Young,3.87,"53,140",77
1770,"Gouda Friends (Ponto Beach Reunion, #2)",Cathy Yardley,4.01,"2,632",77
1771,Maeve Fly,C.J. Leede,3.76,"14,198",77
1772,Pay Dirt (V.I. Warshawski #22),Sara Paretsky,4.06,"2,063",77
1773,Zero Days,Ruth Ware,3.64,"99,919",77
1774,The Further Adventures of Sherlock Holmes - The Martian Menace,Eric Brown,3.72,78,77
1775,A Black Women's History of the United States,Daina Ramey Berry,4.30,"3,287",77
1776,"The Lost Dreamer (The Lost Dreamer Duology, 1)",Lizz Huerta,3.85,"1,816",77
1777,They Said They Wanted Revolution: A Memoir of My Parents,Neda Toloui-Semnani,3.78,"1,548",77
1778,Other People's Clothes,Calla Henkel,3.70,"13,979",77
1779,"When You're Ready, This Is How You Heal",Brianna Wiest,4.26,"9,893",77
1780,Character: The History of a Cultural Obsession,Marjorie Garber,3.03,29,76
1781,The Littlest Yak,Lu Fraser,4.35,850,76
1782,A Single Rose,Muriel Barbery,3.45,"3,706",76
1783,The Golden Couple,Greer Hendricks,3.98,"216,913",76
1784,Why the Germans Do it Better: Notes from a Grown-Up Country,John Kampfner,3.96,"3,299",76
1785,"A Sky Beyond the Storm (An Ember in the Ashes, #4)",Sabaa Tahir,4.30,"65,837",76
1786,"Save Me (WITSEC, #2)",Ashley N. Rostek,4.26,"25,635",76
1787,The Memory Collectors,Kim Neville,3.69,"2,578",76
1788,China,Edward Rutherfurd,4.18,"7,468",76
1789,"The Last Fallen Star (Gifted Clans, #1)",Graci Kim,4.26,"3,889",76
1790,After The Revolution,Robert Evans,4.31,"2,053",76
1791,A Very Nice Girl,Imogen Crimp,3.36,"8,199",76
1792,"Three Tigers, One Mountain: A Journey Through the Bitter History and Current Conflicts of China, Korea, and Japan",Michael Booth,3.89,"1,690",76
1793,"The Girlfriend Arrangement (Black Diamond, #1)",Anna Stone,4.11,"2,178",76
1794,The Long Slide: Thirty Years in American Journalism,Tucker Carlson,4.14,"1,771",75
1795,"The Nameless Ones (Charlie Parker, #19)",John Connolly,4.18,"5,938",75
1796,1000 Serpentinen Angst,Olivia Wenzel,3.88,"2,261",75
1797,Wrapped Up in You,Talia Hibbert,3.58,"6,464",75
1798,"The Secret of the Lost Pearls (Rosalind Thorne Mysteries, #6)",Darcie Wilde,4.17,"1,961",75
1799,Piñata,Leopoldo Gout,3.68,"3,267",75
1800,Bone Music,David Almond,3.75,347,75
1801,Parachutes,Kelly Yang,4.19,"12,300",75
1802,"Raybearer (Raybearer, #1)",Jordan Ifueko,4.33,"28,995",75
1803,"Above all Things (Carlisle, #2)",Roslyn Sinclair,4.55,"2,936",75
1804,A Forgery of Roses,Jessica S. Olson,3.73,"8,797",75
1805,Good Material,Dolly Alderton,3.90,"133,345",75
1806,21st Century Monetary Policy: The Federal Reserve from the Great Inflation to COVID-19,Ben S. Bernanke,4.20,793,75
